Date,Forecast,Lower_CI,Upper_CI
2026-06-30,734.8153,718.7332159960408,750.8973992383342
2026-07-01,733.82947,717.7689521408782,749.8899834059968
2026-07-02,733.0104,716.9677869021286,749.0529650509964
2026-07-03,732.3229,716.295333455834,748.350418497291
2026-07-06,731.7396,715.7248464944711,747.7544015524039
2026-07-07,731.23846,715.2346551550245,747.242273555913
2026-07-08,730.8019,714.8076257248624,746.7961340407626
2026-07-09,730.4155,714.4297288574045,746.4013258300955
2026-07-10,730.06757,714.0893828793038,746.0457489566337
2026-07-13,729.74854,713.7773343917521,745.7197359207479
2026-07-14,729.4506,713.4859418783143,745.4153032388732
2026-07-15,729.16785,713.2093548029695,745.1263385564055
2026-07-16,728.8953,712.9427972179459,744.8478521961166
2026-07-17,728.6297,712.6829856591502,744.5764137549123
2026-07-20,728.36774,712.4267560611835,744.308717571629
2026-07-21,728.108,712.1726756397142,744.0432667430983
2026-07-22,727.84924,711.9196101071465,743.7788762209785
2026-07-23,727.5908,711.6668430713145,743.5147975536855
2026-07-24,727.3326,711.4142551335239,743.2509059992886
2026-07-27,727.07495,711.1622641892048,742.9876381545452
2026-07-28,726.818,710.9109299377044,742.7250563904206
2026-07-29,726.56256,710.6610881698828,742.4640339004297
2026-07-30,726.3092,710.4132761798642,742.2051320232608
2026-07-31,726.0586,710.1681506604673,741.9490368395327
2026-08-03,725.81134,709.9263086051637,741.6963720588988
2026-08-04,725.5683,709.6885858048134,741.4480108748741
2026-08-05,725.32965,709.4551613574579,741.2041404003546
2026-08-06,725.0961,709.226751655263,740.9655090869245
2026-08-07,724.8681,709.0037148943115,740.732491160376
2026-08-10,724.64557,708.7860510746036,740.5050866207089
2026-08-11,724.4287,708.5739392941806,740.2834825808194
2026-08-12,724.2179,708.3677377491254,740.0680532664996
2026-08-13,724.013,708.1673270407437,739.8586739358188
2026-08-14,723.814,707.9727071690355,739.655344588777
2026-08-17,723.62054,707.7834602385708,739.4576286286167
2026-08-18,723.4327,707.5997056480439,739.2656507972686
2026-08-19,723.2501,707.421144900719,739.079099239906
2026-08-20,723.0727,707.2475988985548,738.8977868436327
2026-08-21,722.9003,707.0790079422038,738.7216512374837
2026-08-24,722.7326,706.9149541362364,738.5502558247011
2026-08-25,722.5695,706.7554374806523,738.3836006052852
2026-08-26,722.4108,706.600219178063,738.2214360953745
2026-08-27,722.25635,706.449120130427,738.063575182073
2026-08-28,722.1061,706.3021403377443,737.9100178653807
2026-08-31,721.9596,706.1588619045849,737.7603275485401
