Date,Forecast,Lower_CI,Upper_CI
2026-06-30,375.73706,349.2092826941747,402.2648383995753
2026-07-01,375.8964,349.35736579653945,402.4354198479918
2026-07-02,371.58105,345.34669904881173,397.81541032618827
2026-07-03,365.529,339.72192364901053,391.33605974942697
2026-07-06,358.9925,333.6469143539905,384.338070997572
2026-07-07,352.52097,327.6322898367782,377.4096413155655
2026-07-08,346.32907,321.8775552768477,370.78058681299603
2026-07-09,340.47855,316.440088976456,364.5170033087002
2026-07-10,334.96677,311.3174517195902,358.6160809952535
2026-07-13,329.7673,306.4850811682599,353.04952576533384
2026-07-14,324.84848,301.9135365524489,347.7834238967699
2026-07-15,320.18042,297.5750505177777,342.7857893259723
2026-07-16,315.73767,293.44596834151656,338.02937345535844
2026-07-17,311.4991,289.5066628436546,333.4915671368141
2026-07-20,307.44754,285.7411373052237,329.1539432611826
2026-07-21,303.56906,282.1364865717367,325.001635986857
2026-07-22,299.85196,278.68181926006645,321.0220991969648
2026-07-23,296.28656,275.3681443065374,317.2049758106501
2026-07-24,292.86438,272.1875768035729,313.5411829620521
2026-07-27,289.5781,269.13330963671837,310.0228793281254
2026-07-28,286.42117,266.19927312891843,306.6430730624878
2026-07-29,283.38763,263.3799081367019,303.3953604179856
2026-07-30,280.47205,260.6701660501815,300.2739257466935
2026-07-31,277.66922,258.0652251632853,297.273214778121
2026-08-03,274.97455,255.56080266650218,294.3882940131853
2026-08-04,272.38354,253.15272920222878,291.6143606415212
2026-08-05,269.892,250.83709067965364,288.94690590237764
2026-08-06,267.49597,248.61022827475742,286.38171508461755
2026-08-07,265.19165,246.46859661542837,283.91470416582166
2026-08-10,262.9755,244.4089055963467,281.54208317318455
2026-08-11,260.844,242.4278934751696,279.26009480608036
2026-08-12,258.79398,240.52261050230013,277.06534115785615
2026-08-13,256.85223,238.71795937145131,274.98650840198616
2026-08-14,255.01149,237.00717551263395,273.01580422369415
2026-08-17,253.25906,235.3784741089485,271.1396533324578
2026-08-18,251.59474,233.83165661955664,269.3578270230215
2026-08-19,250.01585,232.36424128398016,267.6674664796917
2026-08-20,248.51878,230.9728670894571,266.06470004921476
2026-08-21,247.09956,229.6538468489912,264.5452803482744
2026-08-24,245.75429,228.40355010154002,263.1050253379131
2026-08-25,244.47922,227.218502382434,261.73993267615975
2026-08-26,243.2707,226.09531431593427,260.44609803758135
2026-08-27,242.12538,225.03085179309406,259.2199111463591
2026-08-28,241.0117,223.99580167729314,258.02760530512876
2026-08-31,239.93338,222.99361007022418,256.87315018368207
2026-09-01,238.89487,222.02841796651373,255.76131592020502
2026-09-02,237.89108,221.0955029305089,254.68666259683485
2026-09-03,236.91917,220.19221302387012,253.64613536480175
2026-09-04,235.97755,219.31707337179884,252.63803527077928
2026-09-07,235.06502,218.46896363670774,251.66107176368288
2026-09-08,234.18048,217.6468769329171,250.7140849811454
2026-09-09,233.32307,216.85000491558543,249.7961437660552
2026-09-10,232.49188,216.0774966954059,248.9062679530316
2026-09-11,231.68611,215.32861483497925,248.04360806541138
2026-09-14,230.9049,214.60256517095246,247.20724928217254
2026-09-15,230.14754,213.89866699188005,246.39640747101058
2026-09-16,229.41327,213.21623958631656,245.61029849962094
2026-09-17,228.70134,212.55457387983967,244.8481055635197
2026-09-18,228.01111,211.91307424993454,244.10914254694046
2026-09-21,227.3419,211.29111671110957,243.3926906619373
2026-09-22,226.69305,210.68807727787302,242.69803112056448
2026-09-23,226.06404,210.1034737796177,242.02460849577292
2026-09-24,225.4541,209.5365971419213,241.3716059830787
2026-09-25,224.86282,208.9870644645957,240.73858250806055
2026-09-28,224.28955,208.45426594363772,240.12483561886228
2026-09-29,223.73376,207.9377194084401,239.5298098884349
2026-09-30,223.19489,207.4368859624419,238.9528845453706
2026-10-01,222.67252,206.95139688694346,238.3936348513378
2026-10-02,222.16606,206.48069910389538,237.851423698839
2026-10-05,221.67511,206.02440971310955,237.32581001345295
2026-10-06,221.19917,205.58207490695565,236.81627104030997
2026-10-07,220.73775,205.153226696315,236.32226768845064
2026-10-08,220.29045,204.73751054397636,235.84339155563302
2026-10-09,219.85686,204.33452936826322,235.37918523134616
2026-10-12,219.43652,203.94387190601063,234.92917496898937
2026-10-13,219.02907,203.5651836200074,234.49295236632074
2026-10-14,218.6341,203.1980957915539,234.0700926850086
