Portfolio,Expected Return,Volatility,Sharpe Ratio
Maximum Sharpe,0.12612555435188003,0.1772590984466061,0.5987030018876415
Minimum Volatility,-0.0006043479177355966,0.05270381353706827,-0.011466872645003942
