Metric,Strategy,Benchmark
Total Return,0.21104157078021824,0.12491385054891513
Annualized Return,0.21104157078021824,0.12491385054891513
Annualized Volatility,0.12531725179326494,0.08118357928945069
Sharpe Ratio,1.5244634561199784,1.2923038312323836
Maximum Drawdown,-0.09133132097248975,-0.06105576080310515
