,TSLA,SPY,BND
TSLA,0.326980666827452,0.04984868950159872,0.0017814406655660435
SPY,0.04984868950159872,0.031420787982103585,0.0010402947487299363
BND,0.0017814406655660435,0.0010402947487299363,0.0028830768356748557
