Dataset,Model,Order,MAE,RMSE,MAPE
TSLA,ARIMA,"(2, 0, 2)",46.85688792475316,65.7795700219751,13.189403781782072
SPY,ARIMA,"(3, 0, 2)",32.30948426313095,39.33207994997608,5.030780669762759
BND,ARIMA,"(3, 0, 2)",1.8235034167861208,2.133244382103637,2.471913846212915
