Dataset,Model,Best Epochs,Best Batch,Validation Loss,MAE,RMSE,MAPE
TSLA,LSTM,50,16,0.0005455428618006408,13.928787785830387,17.83201545324288,4.318155152233972
SPY,LSTM,50,16,0.0003647334815468639,20.324751804444173,23.725308454915897,3.1838448865762654
BND,LSTM,30,16,0.0005238103913143277,0.2901009292338546,0.36543227306229126,0.3964054016948664
