Dataset,Model,MAE,RMSE,MAPE
BND,LSTM,0.2961810550887692,0.3646972123873816,0.4040316648630422
SPY,LSTM,30.405099043796607,37.06309562542102,4.669140809270562
TSLA,LSTM,15.884482281430785,20.4140297136994,4.660197577022772
