Price,Adj Close,Close,High,Low,Open,Volume,Daily_Return,Rolling_Mean_20,Rolling_STD_20,Close_Scaled
Ticker,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY
Date,,,,,,,,,,
2015-01-02,169.6878662109375,205.42999267578125,206.8800048828125,204.17999267578125,206.3800048828125,121465900,,,,0.0391357732702351
2015-01-05,166.6233367919922,201.72000122070312,204.3699951171875,201.35000610351562,204.1699981689453,169632600,-0.018059638744832185,,,0.03270274555806152
2015-01-06,165.0539093017578,199.82000732421875,202.72000122070312,198.86000061035156,202.08999633789062,209151400,-0.009418966314627242,,,0.02940820605924016
2015-01-07,167.11065673828125,202.30999755859375,202.72000122070312,200.8800048828125,201.4199981689453,125346700,0.012461165764721782,,,0.03372578370725621
2015-01-08,170.0760955810547,205.89999389648438,206.16000366210938,203.99000549316406,204.00999450683594,147217800,0.017745026845995993,,,0.03995074303880425
2015-01-09,168.71319580078125,204.25,206.4199981689453,203.50999450683594,206.39999389648438,158567300,-0.00801356942882625,,,0.037089696971845665
2015-01-12,167.3914794921875,202.64999389648438,204.60000610351562,201.9199981689453,204.41000366210938,144396100,-0.00783356721427475,,,0.034315328424588176
2015-01-13,166.92068481445312,202.0800018310547,205.47999572753906,200.50999450683594,204.1199951171875,214553300,-0.002812692240794501,,,0.03332697715827748
2015-01-14,165.9129638671875,200.86000061035156,201.10000610351562,198.57000732421875,199.64999389648438,192991100,-0.006037218970945446,,,0.031211527094120006
2015-01-15,164.3931121826172,199.02000427246094,202.00999450683594,198.8800048828125,201.6300048828125,176613900,-0.009160591119682593,,,0.02802102178561139
2015-01-16,166.5490264892578,201.6300048828125,201.82000732421875,198.5500030517578,198.77000427246094,211879600,0.013114262658634246,,,0.03254669427259238
2015-01-20,166.90419006347656,202.05999755859375,202.72000122070312,200.1699981689453,202.39999389648438,130991100,0.0021325827772069594,,,0.03329229027539343
2015-01-21,167.74673461914062,203.0800018310547,203.66000366210938,200.94000244140625,201.5,122942700,0.005048026748417422,,,0.03506095088572858
2015-01-22,170.24130249023438,206.10000610351562,206.25999450683594,202.3300018310547,203.99000549316406,174356000,0.014871007707461636,,,0.040297558950965984
